player_name,actual_goals,xg,attempts,overperf
Mehdi Taremi,2,1.6762514250084546,9,0.3237485749915454
Rob Rensenbrink,1,0.679195008552771,7,0.32080499144722896
Gerhard Müller,1,0.6799874600572567,5,0.32001253994274326
Stefan de Vrij,1,0.6818303237752668,5,0.31816967622473324
José Paulo Bezzera Maciel Júnior,1,0.6844557111276103,6,0.3155442888723897
Alan Dzagoev,1,0.689169525669176,2,0.310830474330824
Andreas Hoelgebaum Pereira,1,0.6933746564666499,2,0.30662534353335014
Luuk de Jong,1,0.6943168374764316,2,0.3056831625235684
Marco Reus,1,0.6965008728816499,6,0.30349912711835014
Paulo Bruno Exequiel Dybala,1,0.6992975748882135,2,0.30070242511178646
Ivan Toney,1,0.7119179134869296,2,0.28808208651307043
Andreas Granqvist,2,1.7159493979515423,6,0.28405060204845767
Jorge Alberto Francisco Valdano Castellano,1,0.7253200072586938,7,0.27467999274130617
Hee-Chan Hwang,1,0.7276459055764934,8,0.27235409442350655
Youri Tielemans,1,0.734990992135665,10,0.265009007864335
Salman Mohammed Al Faraj,1,0.7440138410153783,3,0.25598615898462174
Boulaye Dia,1,0.745971526951786,8,0.25402847304821397
Bradley Barcola,1,0.746108803845161,3,0.253891196154839
Ao Tanaka,1,0.7498512048578849,1,0.2501487951421151
Mario Pašalić,2,1.7551229116816118,9,0.24487708831838817
Haji Wright,1,0.7565341680107771,8,0.2434658319892229
Gérson de Oliveira Nunes,1,0.7569332215990269,12,0.24306677840097313
Teun Koopmeiners,1,0.7609349693480689,3,0.23906503065193108
Dries Mertens,1,0.7626780566537843,10,0.2373219433462157
Mile Jedinak,2,1.7672677947259656,6,0.23273220527403438
Shinji Kagawa,1,0.7695312055460787,3,0.23046879445392132
Federico Santiago Valverde Dipetta,3,2.7735132672952543,24,0.22648673270474573
Frenkie de Jong,1,0.7781773308821164,2,0.22182266911788362
Karim Ansarifard,1,0.7784247562925731,4,0.22157524370742687
M''Baye Babacar Niang,1,0.7869414723374575,8,0.21305852766254252
Mário Figueira Fernandes,1,0.7913639992857232,4,0.2086360007142768
Carlos Henrique Casimiro,2,1.7971713417958326,14,0.2028286582041674
Daler Kuzyaev,1,0.797265161728244,4,0.20273483827175598
Alfreð Finnbogason,1,0.7982709477674443,6,0.20172905223255566
Heung-Min Son,2,1.8218274991194474,23,0.1781725008805526
Christian Pulisic,2,1.8272325363544109,16,0.17276746364558915
Sergej Milinković-Savić,1,0.8367478465007293,11,0.1632521534992707
Abdelhamid Sabiri,1,0.846182804861335,4,0.15381719513866499
Alexis Mac Allister,2,1.8502517011091997,14,0.14974829889080032
Milan Badelj,1,0.8507311147031293,3,0.14926888529687066
Xavi Simons,1,0.8644925609284215,11,0.13550743907157847
Pape Matar Sarr,1,0.8996532263960351,6,0.10034677360396493
Manuel Ugarte Ribeiro,1,0.9005524857506583,5,0.09944751424934173
Trent Alexander-Arnold,1,0.9177213666745097,6,0.08227863332549035
Carlos Alberto Torres,1,0.9189737548516519,13,0.08102624514834811
Bamidele Alli,1,0.924018220538647,6,0.07598177946135298
Philippe Coutinho Correia,2,1.938284462703372,23,0.06171553729662804
Philip Foden,1,0.944229955549254,8,0.05577004445074596
Pedro Guilherme Abreu dos Santos,1,0.9492003141715055,5,0.05079968582849448
Ferjani Sassi,1,0.9582571419791872,6,0.04174285802081279
