player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
Mahmoud Hamada,2023,1,1,0,Egypt,Center Defensive Midfield,55,0,0,African Cup of Nations,2023,2023,2023
Mahmoud Ibrahim Hassan,2018,0,8,0,Egypt,Left Wing,40,0,0,African Cup of Nations,2018,2018,2018
Mahmoud Ibrahim Hassan,2023,1,6,0,Egypt,Left Midfield,80,0,0,African Cup of Nations,2023,2023,2023
Mama Samba Baldé,2023,0,3,0,Guinea-Bissau,Left Wing,15,0,0,African Cup of Nations,2023,2023,2023
Manuel Luís da Silva Cafumana,2023,0,2,0,Angola,Center Defensive Midfield,10,0,0,African Cup of Nations,2023,2023,2023
Marcelo Amado Djaló Taritolay,2023,0,1,0,Guinea-Bissau,Right Center Back,5,0,0,African Cup of Nations,2023,2023,2023
Marciano Sanca Tchami,2023,0,2,0,Guinea-Bissau,Left Wing,10,0,0,African Cup of Nations,2023,2023,2023
Martin Hongla Yma II,2022,0,1,0,Cameroon,Left Center Midfield,5,0,0,African Cup of Nations,2022,2022,2022
Marwan Attia Fahim Ghallab,2023,0,2,0,Egypt,Center Defensive Midfield,10,0,0,African Cup of Nations,2023,2023,2023
Marwan Mohsen,2018,0,6,0,Egypt,Center Forward,30,0,0,African Cup of Nations,2018,2018,2018
Mauro Daniel Rodrigues Teixeira,2023,0,2,0,Guinea-Bissau,Right Wing,10,0,0,African Cup of Nations,2023,2023,2023
Max-Alain Gradel,2023,0,6,0,Côte d'Ivoire,Right Wing,30,0,0,African Cup of Nations,2023,2023,2023
Mbwana Ally Samatta,2023,0,2,0,Tanzania,Center Forward,10,0,0,African Cup of Nations,2023,2023,2023
Meschak Elia,2023,1,7,0,Congo DR,Right Wing,85,0,0,African Cup of Nations,2023,2023,2023
Miguel Changa Chaiwa,2023,0,1,0,Zambia,Right Defensive Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Mihlali Samson Mayambela,2023,1,8,0,South Africa,Left Midfield,90,0,0,African Cup of Nations,2023,2023,2023
Mohamed Abdel Monem,2023,1,6,0,Egypt,Left Center Back,80,0,0,African Cup of Nations,2023,2023,2023
Mohamed Abougabal,2023,0,1,0,Egypt,Goalkeeper,5,0,0,African Cup of Nations,2023,2023,2023
Mohamed Bayo,2023,3,9,0,Guinea,Center Forward,195,0,0,African Cup of Nations,2023,2023,2023
Mohamed Camara,2023,0,2,0,Mali,Center Defensive Midfield,10,0,0,African Cup of Nations,2023,2023,2023
Mohamed Dellahi Yali,2023,1,2,0,Mauritania,Right Center Back,60,0,0,African Cup of Nations,2023,2023,2023
Mohamed El Amine Amoura,2023,0,2,0,Algeria,Center Attacking Midfield,10,0,0,African Cup of Nations,2023,2023,2023
Mohamed Hany Gamal Eldemerdash,2023,1,2,0,Egypt,Right Back,60,0,0,African Cup of Nations,2023,2023,2023
Mohamed Hussein Mohamed,2023,0,1,0,Tanzania,Left Back,5,0,0,African Cup of Nations,2023,2023,2023
Mohamed Konaté,2023,1,8,0,Burkina Faso,Center Forward,90,0,0,African Cup of Nations,2023,2023,2023
Mohamed Naser Elsayed Elneny,2018,0,3,0,Egypt,Right Center Midfield,15,0,0,African Cup of Nations,2018,2018,2018
Mohamed Naser Elsayed Elneny,2023,0,1,0,Egypt,Right Center Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Mohamed Salah,2018,2,6,0,Egypt,Right Wing,130,0,0,African Cup of Nations,2018,2018,2018
Mohamed Salah,2023,1,4,0,Egypt,Center Attacking Midfield,70,0,0,African Cup of Nations,2023,2023,2023
Mohamed Youcef Belaïli,2023,0,10,0,Algeria,Left Wing,50,0,0,African Cup of Nations,2023,2023,2023
Morgan Guilavogui,2023,0,6,0,Guinea,Right Center Forward,30,0,0,African Cup of Nations,2023,2023,2023
Moriba Kourouma Kourouma,2023,0,3,0,Guinea,Left Defensive Midfield,15,0,0,African Cup of Nations,2023,2023,2023
Morice Michael Abraham,2023,0,1,0,Tanzania,Center Attacking Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Moses Daddy-Ajala Simon,2023,0,5,0,Nigeria,Left Attacking Midfield,25,0,0,African Cup of Nations,2023,2023,2023
Mostafa Fathi,2023,1,2,0,Egypt,Right Midfield,60,0,0,African Cup of Nations,2023,2023,2023
Mostafa Mohamed Ahmed Abdallah,2023,4,15,0,Egypt,Center Forward,275,0,0,African Cup of Nations,2023,2023,2023
Mothobi Mvala,2023,2,2,0,South Africa,Left Center Back,110,0,0,African Cup of Nations,2023,2023,2023
Mouctar Diakhaby,2023,0,2,0,Guinea,Right Center Back,10,0,0,African Cup of Nations,2023,2023,2023
Muhammed Badamosi,2023,0,3,0,Gambia,Center Forward,15,0,0,African Cup of Nations,2023,2023,2023
Musa Barrow,2023,0,8,0,Gambia,Center Attacking Midfield,40,0,0,African Cup of Nations,2023,2023,2023
Nabil Bentaleb,2023,0,1,0,Algeria,Right Defensive Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Naby Deco Keïta,2023,0,1,0,Guinea,Right Wing,5,0,0,African Cup of Nations,2023,2023,2023
Nene Dorgeles,2023,1,3,0,Mali,Left Wing,65,0,0,African Cup of Nations,2023,2023,2023
Ngero Kaanjuka Katua,2023,0,3,0,Namibia,Left Center Midfield,15,0,0,African Cup of Nations,2023,2023,2023
Ngoran Suiru Fai Collins,2022,0,1,0,Cameroon,Right Back,5,0,0,African Cup of Nations,2022,2022,2022
Nicolas Alexis Julio N'Koulou Ndoubena,2022,0,3,0,Cameroon,Left Center Back,15,0,0,African Cup of Nations,2022,2022,2022
