player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
Julian Schieber,2012/2013,0,1,0,Borussia Dortmund,Right Wing,5,0,0,1. Bundesliga,2012/2013,2012/2013,2012
Julian Schieber,2015/2016,0,2,0,Hertha Berlin,Left Wing,10,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Julian Weigl,2015/2016,0,9,0,Borussia Dortmund,Center Defensive Midfield,45,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Julián Malatini,2023/2024,0,1,0,Werder Bremen,Right Center Back,5,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Justin Gideon Njinmah,2023/2024,0,1,0,Werder Bremen,Right Center Midfield,5,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Jérôme Boateng,2011/2012,0,1,0,Bayern Munich,Right Center Back,5,0,0,1. Bundesliga,2011/2012,2011/2012,2011
Jérôme Boateng,2015/2016,0,7,0,Bayern Munich,Right Center Back,35,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Jérôme Gondorf,2015/2016,3,22,0,Darmstadt 98,Left Defensive Midfield,260,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Júnior Enrique Díaz Campbell,2015/2016,0,5,0,Darmstadt 98,Left Back,25,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Karim Bellarabi,2015/2016,6,72,0,Bayer Leverkusen,Right Midfield,660,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Karim Onisiwo,2015/2016,1,11,0,FSV Mainz 05,Right Wing,105,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Karim Onisiwo,2023/2024,0,4,0,FSV Mainz 05,Center Forward,20,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Karl Allgöwer,1988/1989,0,5,0,VfB Stuttgart,Center Back,25,0,0,1. Bundesliga,1988/1989,1988/1989,1988
Kazuki Nagasawa,2015/2016,0,1,0,FC Köln,Left Midfield,5,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Kenan Karaman,2015/2016,3,44,0,Hannover 96,Right Wing,370,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Kevin Großkreutz,2012/2013,0,1,0,Borussia Dortmund,Left Wing,5,0,0,1. Bundesliga,2012/2013,2012/2013,2012
Kevin Großkreutz,2015/2016,0,6,0,VfB Stuttgart,Right Back,30,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Kevin Kampl,2015/2016,3,27,0,Bayer Leverkusen,Left Defensive Midfield,285,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Kevin Kuranyi,2015/2016,0,10,0,Hoffenheim,Center Forward,50,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Kevin Paredes,2023/2024,0,2,0,Wolfsburg,Right Center Midfield,10,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Kevin Stöger,2023/2024,0,1,0,Bochum,Center Attacking Midfield,5,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Kevin Vogt,2015/2016,0,8,0,FC Köln,Left Defensive Midfield,40,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Kevin Volland,2015/2016,8,63,0,Hoffenheim,Left Wing,715,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Kiliann Sildillia,2023/2024,0,2,0,Freiburg,Right Back,10,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Kingsley Coman,2015/2016,4,39,0,Bayern Munich,Right Midfield,395,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Klaas-Jan Huntelaar,2015/2016,12,73,0,Schalke 04,Center Forward,965,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Klaus Augenthaler,1988/1989,0,2,0,Bayern Munich,Center Back,10,0,0,1. Bundesliga,1988/1989,1988/1989,1988
Ko Itakura,2023/2024,0,1,0,Borussia Mönchengladbach,Center Back,5,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Konrad Laimer,2023/2024,0,2,0,Bayern Munich,Right Back,10,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Konstantin Engel,2015/2016,0,2,0,Ingolstadt,Left Back,10,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Konstantin Rausch,2015/2016,2,39,0,Darmstadt 98,Left Midfield,295,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Konstantinos Stafylidis,2015/2016,1,10,0,Augsburg,Left Back,100,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Kouadio Emmanuel Koné,2023/2024,0,1,0,Borussia Mönchengladbach,Right Center Midfield,5,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Kyriakos Papadopoulos,2015/2016,0,12,0,Bayer Leverkusen,Left Center Back,60,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Lars Bender,2015/2016,1,11,0,Bayer Leverkusen,Right Defensive Midfield,105,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Lars Edi Stindl,2015/2016,7,67,0,Borussia Mönchengladbach,Right Center Forward,685,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Leandro Barreiro Martins,2023/2024,0,2,0,FSV Mainz 05,Right Defensive Midfield,10,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Leandro Putaro,2015/2016,0,1,0,Wolfsburg,Right Defensive Midfield,5,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Leon Aderemi Balogun,2015/2016,1,13,0,FSV Mainz 05,Right Center Back,115,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Leon Andreasen,2015/2016,2,19,0,Hannover 96,Center Attacking Midfield,195,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Leon Goretzka,2015/2016,1,37,0,Schalke 04,Left Defensive Midfield,235,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Leon Goretzka,2023/2024,1,4,0,Bayern Munich,Left Defensive Midfield,70,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Leonardo Bittencourt,2015/2016,3,38,0,FC Köln,Left Midfield,340,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Leonardo Bittencourt,2023/2024,0,2,0,Werder Bremen,Right Center Midfield,10,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Leonidas Stergiou,2023/2024,0,1,0,VfB Stuttgart,Right Back,5,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Leroy Sané,2015/2016,8,68,0,Schalke 04,Right Wing,740,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Leroy Sané,2023/2024,0,3,0,Bayern Munich,Right Wing,15,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Levin Mete Öztunali,2015/2016,1,24,0,Werder Bremen,Right Midfield,170,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Lewis Harry Holtby,2015/2016,3,32,0,Hamburger SV,Left Defensive Midfield,310,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Lovro Majer,2023/2024,0,1,0,Wolfsburg,Left Center Midfield,5,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Luc Castaignos,2015/2016,4,17,0,Eintracht Frankfurt,Left Center Forward,285,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Luca Caldirola,2015/2016,0,16,0,Darmstadt 98,Left Center Back,80,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Luca Netz,2023/2024,0,1,0,Borussia Mönchengladbach,Left Wing Back,5,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Luca Pfeiffer,2023/2024,0,3,0,Darmstadt 98,Right Center Forward,15,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Lucas Höler,2023/2024,0,3,0,Freiburg,Center Forward,15,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Lucas Silva Melo,2023/2024,0,1,0,Eintracht Frankfurt,Right Center Back,5,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Ludwig Kögl,1988/1989,0,3,0,Bayern Munich,Left Wing Back,15,0,0,1. Bundesliga,1988/1989,1988/1989,1988
Luiz Gustavo Dias,2015/2016,1,23,0,Wolfsburg,Left Defensive Midfield,165,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Lukas Fröde,2015/2016,0,1,0,Werder Bremen,Left Center Forward,5,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Lukas Hinterseer,2015/2016,6,30,0,Ingolstadt,Center Forward,450,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Lukas Klünter,2015/2016,0,1,0,FC Köln,Right Midfield,5,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Lukas Kübler,2023/2024,0,1,0,Freiburg,Left Back,5,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Lukas Rupp,2015/2016,5,39,0,VfB Stuttgart,Right Midfield,445,0,0,1. Bundesliga,2015/2016,2015/2016,2015
László Kleinheisler,2015/2016,0,4,0,Werder Bremen,Left Midfield,20,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Mahmoud Dahoud,2015/2016,5,40,0,Borussia Mönchengladbach,Right Defensive Midfield,450,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Makoto Hasebe,2015/2016,1,7,0,Eintracht Frankfurt,Right Defensive Midfield,85,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Manuel Gulde,2023/2024,1,2,0,Freiburg,Left Center Back,60,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Manuel Neuer,2011/2012,1,1,0,Bayern Munich,Goalkeeper,55,0,0,1. Bundesliga,2011/2012,2011/2012,2011
Manuel Schmiedebach,2015/2016,1,11,0,Hannover 96,Center Attacking Midfield,105,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Marc Stendera,2015/2016,2,39,0,Eintracht Frankfurt,Left Center Midfield,295,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Marcel Hartel,2015/2016,0,4,0,FC Köln,Left Wing,20,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Marcel Heller,2015/2016,6,32,0,Darmstadt 98,Right Midfield,460,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Marcel Risse,2015/2016,3,45,0,FC Köln,Right Wing,375,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Marcel Sabitzer,2023/2024,0,2,0,Borussia Dortmund,Right Center Midfield,10,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Marcel Schmelzer,2015/2016,0,21,0,Borussia Dortmund,Left Back,105,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Marcel Schäfer,2015/2016,1,12,0,Wolfsburg,Left Back,110,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Marcelo Antônio Guedes Filho,2015/2016,1,7,0,Hannover 96,Right Center Back,85,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Marco Höger,2015/2016,0,2,0,Schalke 04,Left Center Midfield,10,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Marco Jhonfai Fabián De La Mora,2015/2016,0,19,0,Eintracht Frankfurt,Center Attacking Midfield,95,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Marco Reus,2012/2013,0,1,0,Borussia Dortmund,Center Attacking Midfield,5,0,0,1. Bundesliga,2012/2013,2012/2013,2012
Marco Reus,2015/2016,12,63,0,Borussia Dortmund,Left Wing,915,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Marco Russ,2015/2016,3,22,0,Eintracht Frankfurt,Right Defensive Midfield,260,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Marco Sailer,2015/2016,1,6,0,Darmstadt 98,Center Attacking Midfield,80,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Mario Gómez García,2011/2012,1,6,0,Bayern Munich,Center Forward,80,0,0,1. Bundesliga,2011/2012,2011/2012,2011
Mario Götze,2015/2016,3,17,0,Bayern Munich,Right Center Midfield,235,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Mario Götze,2023/2024,0,2,0,Eintracht Frankfurt,Right Defensive Midfield,10,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Mario Mandžukić,2012/2013,1,5,0,Bayern Munich,Center Forward,75,0,0,1. Bundesliga,2012/2013,2012/2013,2012
Mario Vrančić,2015/2016,2,14,0,Darmstadt 98,Center Attacking Midfield,170,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Marius Bülter,2023/2024,0,1,0,Hoffenheim,Left Wing Back,5,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Marius Wolf,2015/2016,0,1,0,Hannover 96,Left Midfield,5,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Marius Wolf,2023/2024,0,1,0,Borussia Dortmund,Right Back,5,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Mark Uth,2015/2016,8,33,0,Hoffenheim,Right Wing,565,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Mark van Bommel,2009/2010,0,4,0,Bayern Munich,Right Defensive Midfield,20,0,0,1. Bundesliga,2009/2010,2009/2010,2009
Markus Feulner,2015/2016,1,13,0,Augsburg,Right Back,115,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Markus Suttner,2015/2016,0,20,0,Ingolstadt,Left Back,100,0,0,1. Bundesliga,2015/2016,2015/2016,2015
