player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
Domenico Berardi,2015/2016,7,88,0,Sassuolo,Right Wing,790,0,0,Serie A,2015/2016,2015/2016,2015
Domenico Maietta,2015/2016,0,1,0,Bologna,Left Center Back,5,0,0,Serie A,2015/2016,2015/2016,2015
Dries Mertens,2015/2016,5,55,0,Napoli,Left Wing,525,0,0,Serie A,2015/2016,2015/2016,2015
Duván Esteban Zapata Banguera,2015/2016,8,52,0,Udinese,Right Center Forward,660,0,0,Serie A,2015/2016,2015/2016,2015
Dušan Basta,2015/2016,0,11,0,Lazio,Right Back,55,0,0,Serie A,2015/2016,2015/2016,2015
Dávid Ivan,2015/2016,1,5,0,Sampdoria,Left Defensive Midfield,75,0,0,Serie A,2015/2016,2015/2016,2015
Edenílson Andrade dos Santos,2015/2016,0,12,0,Udinese,Left Wing Back,60,0,0,Serie A,2015/2016,2015/2016,2015
Eder Citadin Martins,2015/2016,13,80,0,Sampdoria,Left Wing,1050,0,0,Serie A,2015/2016,2015/2016,2015
Edin Džeko,2015/2016,8,88,0,AS Roma,Center Forward,840,0,0,Serie A,2015/2016,2015/2016,2015
Edoardo Goldaniga,2015/2016,2,6,0,Palermo,Right Center Back,130,0,0,Serie A,2015/2016,2015/2016,2015
Edson Braafheid,2015/2016,0,2,0,Lazio,Left Back,10,0,0,Serie A,2015/2016,2015/2016,2015
Elseid Hysaj,2015/2016,0,12,0,Napoli,Right Back,60,0,0,Serie A,2015/2016,2015/2016,2015
Emanuele Giaccherini,2015/2016,7,46,0,Bologna,Left Wing,580,0,0,Serie A,2015/2016,2015/2016,2015
Emanuele Suagher,2015/2016,0,3,0,Carpi,Left Center Back,15,0,0,Serie A,2015/2016,2015/2016,2015
Emerson Palmieri dos Santos,2015/2016,1,4,0,AS Roma,Left Back,70,0,0,Serie A,2015/2016,2015/2016,2015
Emil Hallfreðsson,2015/2016,0,19,0,Hellas Verona,Left Center Midfield,95,0,0,Serie A,2015/2016,2015/2016,2015
Emiliano Moretti,2015/2016,1,13,0,Torino,Left Center Back,115,0,0,Serie A,2015/2016,2015/2016,2015
Emmanuel Agyemang-Badu,2015/2016,4,41,0,Udinese,Right Center Midfield,405,0,0,Serie A,2015/2016,2015/2016,2015
Enzo Maresca,2015/2016,1,11,0,Palermo,Center Defensive Midfield,105,0,0,Serie A,2015/2016,2015/2016,2015
Erick Antonio Pulgar Farfán,2015/2016,0,6,0,Bologna,Left Center Midfield,30,0,0,Serie A,2015/2016,2015/2016,2015
Eros Pisano,2015/2016,5,23,0,Hellas Verona,Right Back,365,0,0,Serie A,2015/2016,2015/2016,2015
Ervin Zukanović,2015/2016,3,11,0,Sampdoria,Left Center Back,205,0,0,Serie A,2015/2016,2015/2016,2015
Esteban Matías Cambiasso Delau,2009/2010,0,1,0,Inter Milan,Left Defensive Midfield,5,0,0,Serie A,2009/2010,2009/2010,2009
Ezequiel Muñoz,2015/2016,0,8,0,Genoa,Right Center Back,40,0,0,Serie A,2015/2016,2015/2016,2015
Fabio Capello,1972/1973,0,1,0,Juventus,Left Center Midfield,5,0,0,Serie A,1972/1973,1972/1973,1972
Fabio Daprelà,2015/2016,0,1,0,Palermo,Left Wing Back,5,0,0,Serie A,2015/2016,2015/2016,2015
Fabio Quagliarella,2015/2016,8,101,0,Sampdoria,Center Forward,905,0,0,Serie A,2015/2016,2015/2016,2015
Fabrizio Cacciatore,2015/2016,1,10,0,Chievo,Right Back,100,0,0,Serie A,2015/2016,2015/2016,2015
Facundo Sebastián Roncaglia,2015/2016,1,11,0,Fiorentina,Right Center Back,105,0,0,Serie A,2015/2016,2015/2016,2015
Faouzi Ghoulam,2015/2016,0,22,0,Napoli,Left Back,110,0,0,Serie A,2015/2016,2015/2016,2015
Federico Barba,2015/2016,1,4,0,Empoli,Left Center Back,70,0,0,Serie A,2015/2016,2015/2016,2015
Federico Bernardeschi,2015/2016,2,54,0,Fiorentina,Right Wing Back,370,0,0,Serie A,2015/2016,2015/2016,2015
Federico Bonazzoli,2015/2016,0,1,0,Sampdoria,Left Midfield,5,0,0,Serie A,2015/2016,2015/2016,2015
Federico Dionisi,2015/2016,9,86,0,Frosinone,Left Center Forward,880,0,0,Serie A,2015/2016,2015/2016,2015
Federico Mattiello,2015/2016,0,3,0,Chievo,Right Back,15,0,0,Serie A,2015/2016,2015/2016,2015
Federico Peluso,2015/2016,1,19,0,Sassuolo,Left Back,145,0,0,Serie A,2015/2016,2015/2016,2015
Federico Viviani,2015/2016,3,32,0,Hellas Verona,Right Defensive Midfield,310,0,0,Serie A,2015/2016,2015/2016,2015
Felipe Anderson Pereira Gomes,2015/2016,7,50,0,Lazio,Right Wing,600,0,0,Serie A,2015/2016,2015/2016,2015
Felipe Dias da Silva dal Belo,2015/2016,1,11,0,Udinese,Left Center Back,105,0,0,Serie A,2015/2016,2015/2016,2015
Felipe Melo de Carvalho,2015/2016,1,23,0,Inter Milan,Center Defensive Midfield,165,0,0,Serie A,2015/2016,2015/2016,2015
Fernando De Napoli,1988/1989,0,4,0,Napoli,Right Wing Back,20,0,0,Serie A,1988/1989,1988/1989,1988
Fernando Lucas Martins,2015/2016,4,48,0,Sampdoria,Center Defensive Midfield,440,0,0,Serie A,2015/2016,2015/2016,2015
Filip Helander,2015/2016,2,6,0,Hellas Verona,Left Center Back,130,0,0,Serie A,2015/2016,2015/2016,2015
Filip Đorđević,2015/2016,3,20,0,Lazio,Center Forward,250,0,0,Serie A,2015/2016,2015/2016,2015
Filippo Falco,2015/2016,0,4,0,Bologna,Right Wing,20,0,0,Serie A,2015/2016,2015/2016,2015
Filippo Inzaghi,2006/2007,2,2,0,AC Milan,Center Forward,110,0,0,Serie A,2006/2007,2006/2007,2006
Filippo Porcari,2015/2016,0,2,0,Carpi,Right Center Midfield,10,0,0,Serie A,2015/2016,2015/2016,2015
Francesco Acerbi,2015/2016,4,14,0,Sassuolo,Left Center Back,270,0,0,Serie A,2015/2016,2015/2016,2015
Francesco Lodi,2015/2016,1,25,0,Udinese,Center Defensive Midfield,175,0,0,Serie A,2015/2016,2015/2016,2015
Francesco Magnanelli,2015/2016,1,18,0,Sassuolo,Center Defensive Midfield,140,0,0,Serie A,2015/2016,2015/2016,2015
Francesco Romano,1986/1987,0,2,0,Napoli,Left Center Midfield,10,0,0,Serie A,1986/1987,1986/1987,1986
Francesco Totti,2015/2016,5,22,0,AS Roma,Center Forward,360,0,0,Serie A,2015/2016,2015/2016,2015
Franco Brienza,2015/2016,3,41,0,Bologna,Center Attacking Midfield,355,0,0,Serie A,2015/2016,2015/2016,2015
Franco Damián Vázquez,2015/2016,8,106,0,Palermo,Center Attacking Midfield,930,0,0,Serie A,2015/2016,2015/2016,2015
Fredy Alejandro Guarín Vásquez,2015/2016,1,29,0,Inter Milan,Right Center Midfield,195,0,0,Serie A,2015/2016,2015/2016,2015
Gabriel Alejandro Paletta,2015/2016,1,9,0,Atalanta,Left Center Back,95,0,0,Serie A,2015/2016,2015/2016,2015
Gabriel Moisés Antunes da Silva,2015/2016,0,13,0,Carpi,Left Wing Back,65,0,0,Serie A,2015/2016,2015/2016,2015
Gabriel Omar Batistuta,1999/2000,1,3,0,Fiorentina,Left Center Forward,65,0,0,Serie A,1999/2000,1999/2000,1999
Gaetano Letizia,2015/2016,1,23,0,Carpi,Right Midfield,165,0,0,Serie A,2015/2016,2015/2016,2015
Gaetano Monachello,2015/2016,0,15,0,Atalanta,Right Center Forward,75,0,0,Serie A,2015/2016,2015/2016,2015
Gary Alexis Medel Soto,2015/2016,1,12,0,Inter Milan,Right Defensive Midfield,110,0,0,Serie A,2015/2016,2015/2016,2015
Gastón Alexis Silva Perdomo,2015/2016,0,7,0,Torino,Left Wing Back,35,0,0,Serie A,2015/2016,2015/2016,2015
Gastón Brugman,2015/2016,0,16,0,Palermo,Center Attacking Midfield,80,0,0,Serie A,2015/2016,2015/2016,2015
Gennaro Sardo,2015/2016,1,2,0,Chievo,Right Back,60,0,0,Serie A,2015/2016,2015/2016,2015
Geoffrey Kondogbia,2015/2016,1,38,0,Inter Milan,Left Center Midfield,240,0,0,Serie A,2015/2016,2015/2016,2015
Germán Gustavo Denis,2015/2016,4,25,0,Atalanta,Center Forward,325,0,0,Serie A,2015/2016,2015/2016,2015
Gervais Lombe Yao Kouassi,2015/2016,6,27,0,AS Roma,Left Wing,435,0,0,Serie A,2015/2016,2015/2016,2015
Giacomo Bonaventura,2015/2016,6,106,0,AC Milan,Left Midfield,830,0,0,Serie A,2015/2016,2015/2016,2015
Giampaolo Pazzini,2015/2016,6,79,0,Hellas Verona,Center Forward,695,0,0,Serie A,2015/2016,2015/2016,2015
Giampiero Pinzi,2015/2016,0,3,0,Chievo,Right Center Midfield,15,0,0,Serie A,2015/2016,2015/2016,2015
Giancarlo González Castro,2015/2016,2,4,0,Palermo,Left Center Back,120,0,0,Serie A,2015/2016,2015/2016,2015
Giancarlo Marocchi,1988/1989,0,2,0,Juventus,Right Center Midfield,10,0,0,Serie A,1988/1989,1988/1989,1988
Gianfranco Bedin,1971/1972,0,4,0,Inter Milan,Left Defensive Midfield,20,0,0,Serie A,1971/1972,1971/1972,1971
Gianpaolo Bellini,2015/2016,1,6,0,Atalanta,Left Back,80,0,0,Serie A,2015/2016,2015/2016,2015
Gianpietro Marchetti,1972/1973,0,1,0,Juventus,Right Back,5,0,0,Serie A,1972/1973,1972/1973,1972
Gilberto Moraes Junior,2015/2016,0,7,0,Fiorentina,Right Wing Back,35,0,0,Serie A,2015/2016,2015/2016,2015
Giorgio Chiellini,2015/2016,1,15,0,Juventus,Left Center Back,125,0,0,Serie A,2015/2016,2015/2016,2015
Giovanni Francini,1988/1989,0,3,0,Napoli,Left Center Back,15,0,0,Serie A,1988/1989,1988/1989,1988
Giovanni Marchese,2015/2016,0,4,0,Genoa,Left Center Back,20,0,0,Serie A,2015/2016,2015/2016,2015
Giulio Migliaccio,2015/2016,0,3,0,Atalanta,Center Defensive Midfield,15,0,0,Serie A,2015/2016,2015/2016,2015
Giuseppe Bruscolotti,1986/1987,0,2,0,Napoli,Left Center Back,10,0,0,Serie A,1986/1987,1986/1987,1986
Giuseppe Pezzella,2015/2016,0,2,0,Palermo,Left Back,10,0,0,Serie A,2015/2016,2015/2016,2015
Giuseppe Vives,2015/2016,1,16,0,Torino,Center Defensive Midfield,130,0,0,Serie A,2015/2016,2015/2016,2015
Giuseppe Volpecina,1986/1987,1,1,0,Napoli,Left Wing Back,55,0,0,Serie A,1986/1987,1986/1987,1986
Godfred Donsah,2015/2016,2,16,0,Bologna,Right Center Midfield,180,0,0,Serie A,2015/2016,2015/2016,2015
Gonzalo Gerardo Higuaín,2015/2016,36,182,0,Napoli,Center Forward,2710,0,0,Serie A,2015/2016,2015/2016,2015
Gonzalo Gerardo Higuaín,2016/2017,0,3,0,Juventus,Center Forward,15,0,0,Serie A,2016/2017,2016/2017,2016
Gonzalo Javier Rodríguez,2015/2016,4,11,0,Fiorentina,Center Back,255,0,0,Serie A,2015/2016,2015/2016,2015
Goran Pandev,2009/2010,0,1,0,Inter Milan,Left Wing,5,0,0,Serie A,2009/2010,2009/2010,2009
