player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
Rodrygo Silva de Goes,2024,0,10,0,Brazil,Center Forward,50,0,0,FIFA World Cup,2024,2024,2024
Rogelio Gabriel Funes Mori,2022,0,1,0,Mexico,Right Defensive Midfield,5,0,0,FIFA World Cup,2022,2022,2022
Roger Piantoni,1958,1,6,0,France,Left Defensive Midfield,80,0,0,FIFA World Cup,1958,1958,1958
Roland Sandberg,1974,0,2,0,Sweden,Right Center Forward,10,0,0,FIFA World Cup,1974,1974,1974
Romain Saïss,2018,0,1,0,Morocco,Left Center Back,5,0,0,FIFA World Cup,2018,2018,2018
Romain Saïss,2022,1,1,0,Morocco,Left Center Back,55,0,0,FIFA World Cup,2022,2022,2022
Romain Saïss,2023,1,1,0,Morocco,Left Center Back,55,0,0,FIFA World Cup,2023,2023,2023
Roman Zobnin,2018,0,7,0,Russia,Left Center Midfield,35,0,0,FIFA World Cup,2018,2018,2018
Roman Zobnin,2020,0,3,0,Russia,Left Defensive Midfield,15,0,0,FIFA World Cup,2020,2020,2020
Romelu Lukaku Menama,2018,4,14,0,Belgium,Center Forward,270,0,0,FIFA World Cup,2018,2018,2018
Romelu Lukaku Menama,2020,4,13,0,Belgium,Center Forward,265,0,0,FIFA World Cup,2020,2020,2020
Romelu Lukaku Menama,2022,0,5,0,Belgium,Center Forward,25,0,0,FIFA World Cup,2022,2022,2022
Romelu Lukaku Menama,2024,0,11,0,Belgium,Center Forward,55,0,0,FIFA World Cup,2024,2024,2024
Ronald Federico Araújo da Silva,2024,0,3,0,Uruguay,Right Center Back,15,0,0,FIFA World Cup,2024,2024,2024
Roozbeh Cheshmi,2018,0,1,0,Iran,Left Center Back,5,0,0,FIFA World Cup,2018,2018,2018
Roozbeh Cheshmi,2022,1,1,0,Iran,Left Defensive Midfield,55,0,0,FIFA World Cup,2022,2022,2022
Ruben Loftus-Cheek,2018,0,3,0,England,Left Center Midfield,15,0,0,FIFA World Cup,2018,2018,2018
Rubén Hugo Ayala,1974,0,1,0,Argentina,Right Attacking Midfield,5,0,0,FIFA World Cup,1974,1974,1974
Rudi Völler,1986,1,3,0,Germany,Right Center Forward,65,0,0,FIFA World Cup,1986,1986,1986
Ruud Krol,1974,1,8,0,Netherlands,Left Back,90,0,0,FIFA World Cup,1974,1974,1974
Ryan Gravenberch,2020,0,2,0,Netherlands,Left Defensive Midfield,10,0,0,FIFA World Cup,2020,2020,2020
Rúrik Gíslason,2018,0,1,0,Iceland,Right Midfield,5,0,0,FIFA World Cup,2018,2018,2018
Rüdiger Schnuphase,1974,0,1,0,German DR,Left Midfield,5,0,0,FIFA World Cup,1974,1974,1974
Sadio Mané,2018,1,3,0,Senegal,Left Wing,65,0,0,FIFA World Cup,2018,2018,2018
Sadio Mané,2023,2,7,0,Senegal,Left Midfield,135,0,0,FIFA World Cup,2023,2023,2023
Saeid Ezatolahi Afagh,2018,0,1,0,Iran,Center Defensive Midfield,5,0,0,FIFA World Cup,2018,2018,2018
Saeid Ezatolahi Afagh,2022,0,3,0,Iran,Left Defensive Midfield,15,0,0,FIFA World Cup,2022,2022,2022
Saleh Khalid Al Shehri,2022,1,3,0,Saudi Arabia,Center Forward,65,0,0,FIFA World Cup,2022,2022,2022
